,city,cloudiness,country,date,humidity,lat,long,max temp,wind speed
0,portland,90,US,1588465282,81,45.52,-122.68,55.99,10.29
1,ushuaia,5,AR,1588465300,75,-54.8,-68.3,42.8,16.11
2,la paz,75,BO,1588465650,53,-16.5,-68.15,50.0,8.05
3,saskylakh,100,RU,1588465935,94,71.92,114.08,18.16,6.29
4,mataura,78,NZ,1588465935,61,-46.19,168.86,60.35,3.89
5,bathsheba,75,BB,1588465935,78,13.22,-59.52,80.6,19.46
6,upernavik,100,GL,1588465936,98,72.79,-56.15,24.17,16.93
7,khatanga,84,RU,1588465936,96,71.97,102.5,18.05,3.09
8,rikitea,60,PF,1588465506,73,-23.12,-134.97,76.96,12.03
9,cape town,75,ZA,1588465815,100,-33.93,18.42,62.01,9.17
10,flin flon,75,CA,1588465655,65,54.77,-101.86,35.6,6.93
11,punta arenas,75,CL,1588465816,81,-53.15,-70.92,44.6,6.93
12,les cayes,10,HT,1588465937,78,18.2,-73.75,77.32,3.15
13,castro,3,BR,1588465937,51,-24.79,-50.01,55.27,5.91
14,atuona,85,PF,1588465524,78,-9.8,-139.03,81.99,21.05
15,mar del plata,91,AR,1588465304,87,-38.0,-57.56,61.0,6.93
16,bredasdorp,78,ZA,1588465519,82,-34.53,20.04,64.4,6.93
17,airai,41,TL,1588465510,62,-8.93,125.41,64.98,4.43
18,bambous virieux,75,MU,1588465519,83,-20.34,57.76,75.2,10.29
19,kapaa,1,US,1588465507,58,22.08,-159.32,82.4,18.34
20,albany,92,US,1588465365,43,42.6,-73.97,66.0,4.54
21,bakchar,100,RU,1588465938,59,57.02,82.07,51.12,14.36
22,busselton,1,AU,1588465512,28,-33.65,115.33,66.0,12.82
23,madison,1,US,1588465801,47,34.73,-86.57,79.0,8.05
24,longyearbyen,20,SJ,1588465528,61,78.22,15.64,17.6,10.29
25,tromso,58,NO,1588465851,74,69.65,18.96,37.4,14.99
26,constantine,81,DZ,1588465939,87,36.37,6.61,53.6,3.36
27,bethel,1,US,1588465513,29,41.37,-73.41,66.2,5.82
28,cabo san lucas,75,MX,1588465509,47,22.89,-109.91,89.01,6.93
29,hilo,40,US,1588465513,54,19.73,-155.09,82.4,9.17
30,boa vista,20,BR,1588465571,62,2.82,-60.67,86.0,4.7
31,bandarbeyla,38,SO,1588465569,77,9.49,50.81,84.07,10.49
32,caravelas,0,BR,1588465514,84,-17.71,-39.25,74.93,3.31
33,san patricio,5,MX,1588465579,74,19.22,-104.7,86.0,11.41
34,hobart,75,AU,1588465509,53,-42.88,147.33,52.0,10.29
35,atambua,77,ID,1588465541,68,-9.11,124.89,77.54,7.02
36,kodiak,20,US,1588465515,37,57.79,-152.41,55.4,13.87
37,vila velha,0,BR,1588465571,88,-20.33,-40.29,75.2,3.36
38,nanakuli,90,US,1588465667,57,21.39,-158.15,82.4,12.75
39,nikolskoye,96,RU,1588465514,57,59.7,30.79,50.0,8.95
40,saint anthony,1,US,1588465505,22,45.02,-93.22,70.0,17.22
41,yerbogachen,99,RU,1588465821,50,61.28,108.01,42.15,10.58
